sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,AchievementE,ProgressE,GapE,ChallengeE,CCRPIScoreE,performance_9E,performance_10E,AchievementM,ProgressM,GapM,ChallengeM,CCRPIScoreM,performance_9M,AchievementH,ProgressH,GapH,ChallengeH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,performance_11H,performance_12H,performance_17H,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
603302,603,Bacon County,Bacon County High School,302,H,(912)632-4414,1190 US Highway 1 S,Alma,GA,31510,560,9-12,,D,66.90000000000000,0,0,17,11,2,70,56,14,1,,,,,,,,,,,,,,31.5,30,3.3,2.1,66.90000000000000,32.9,40.7,25,1.4,14,59.8,26.2,0,27.7,27.7,43.1,1.5,42,31.6,24.1,2.3,69.5,45.8,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,10.4,8685.050000000000
604105,604,Baker County,Baker County K12 School,105,EMH,(229)734-5274,260 GA-37 SW,Newton,GA,39870,281,K-12,,F,56.6,0,0,65,13,5,17,100,17,0,20,23.4,,0,48.2,26.3,52.40000000000000,22.4,37.5,8.300000000000000,0,68.2,50,29.2,23.8,,1.3,60.2,,,,,47.1,52.90000000000000,0,0,39.1,47.8,8.700000000000000,4.300000000000000,20,46.7,26.7,6.7,,22.2,90,45.2,43.5,11.3,0,38.7,56.50000000000000,1.6,3.2,61.9,23.8,14.3,0,40,45,0,15,39.7,42.6,17.6,0,22.1,57.40000000000000,19.1,1.5,42.3,34.6,23.1,0,34.6,53.8,7.7,3.8,,1,4,18.9,16078.09
605100,605,Baldwin County,Oak Hill Middle School,100,M,(478)457-3370,356 Blandy Rd NW,Milledgeville,GA,31061,1146,6-8,,F,59.8,1,0,70,2,3,24,90,12,1,,,,,,,,22,32.3,5,0.5,59.8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,35.9,18,3.2,36.3,43.9,15.5,4.300000000000000,60.2,23.6,13.1,3.2,39.5,39.2,17.2,4.100000000000000,,3,3,13,7956.72
605104,605,Baldwin County,Eagle Ridge Elementary School,104,E,(478)457-2967,220 ABC Dr,Milledgeville,GA,31061,738,K-5,,D,60.8,0,0,80,1,5,14,90,11,0,19.5,33.6,6.7,1,60.8,20.9,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9,35.5,13.5,1.1,42.5,43.1,11.6,2.8,57.40000000000000,30.6,10.2,1.9,59.3,32.4,6.5,1.9,,,,,,,,,,,,,,,,,,3.5,3,19,7819.09
605189,605,Baldwin County,Baldwin High School,189,H,(478)453-6429,155 Ga Highway 49 W,Milledgeville,GA,31061,1256,9-12,,C,76.2,1,0,68,2,3,25,75,12,1,,,,,,,,,,,,,,30.2,36.6,6.7,2.7,76.2,23.7,49.6,22.6,4.100000000000000,43.1,43.8,11.8,1.3,34,31.4,30,4.6,28.6,24.7,41.7,5,45.8,36.2,88.80000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,15.8,9197.130000000000
605194,605,Baldwin County,Midway Elementary School,194,E,(478)457-2440,101 Carl Vinson Rd SE,Milledgeville,GA,31061,531,K-5,,F,55.90000000000000,1,0,63,1,4,31,91,9,1,20.9,27.3,6.7,1,55.9,26.9,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,31.1,17,1.5,43.9,42.4,12.1,1.5,42.7,37.3,18.7,1.3,42.7,53.3,1.3,2.7,,,,,,,,,,,,,,,,,,2,4,19.1,8848.83
605195,605,Baldwin County,Blandy Hills Elementary School,195,E,(478)457-2495,375 Blandy Rd,Milledgeville,GA,31061,675,K-5,,D,69.40000000000000,2,0,56,4,4,35,84,8,4,27,32.5,6.7,3.2,69.40000000000000,40.90000000000000,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.40000000000000,42.9,16.9,5.800000000000000,15,47.2,29.8,8,43.9,34.6,16.8,4.7,32.7,50.5,15,1.9,,,,,,,,,,,,,,,,,,3,4,11.2,8189.62
605199,605,Baldwin County,Creekside Elementary School,199,E,(478)457-3301,372 Blandy Rd,Milledgeville,GA,31061,877,K-5,,C,72.5,3,0,47,3,4,43,71,11,1,28.4,35.9,6.7,1.5,72.5,41.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,40.40000000000000,24.2,8.1,22.2,45,25.2,7.6,41.7,28.8,23,6.5,30.2,46.8,12.9,10.1,,,,,,,,,,,,,,,,,,4,4,11.6,7420.99
606105,606,Banks County,Banks County Middle School,105,M,(706)677-2277,712 Thompson St,Homer,GA,30547,618,6-8,,B,81.5,1,0,2,8,1,88,60,13,1,,,,,,,,35.2,35.9,6.7,3.7,81.5,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,33.6,40.6,6.7,13,37.3,37.1,12.6,16.7,25,38,20.3,18.2,28.6,37.5,15.6,,4,4,11.7,8617.290000000000
606107,606,Banks County,Banks County Elementary School,107,E,(706)677-2308,180 Highway 51 S,Homer,GA,30547,639,3-5,,B,80.90000000000000,1,0,2,10,3,84,68,17,7,31.5,37.7,8.300000000000000,3.4,80.90000000000000,57.90000000000000,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,35.8,32.8,11.7,12.3,36.9,40.5,10.4,23.3,30,31.9,14.8,24.4,46.90000000000000,20.1,8.600000000000000,,,,,,,,,,,,,,,,,,4,3,10.4,8703.280000000000
606199,606,Banks County,Banks County High School,199,H,(706)677-2221,1486 Historic Homer Hwy,Homer,GA,30547,928,9-12,,C,76.40000000000000,1,0,2,10,1,86,56,15,2,,,,,,,,,,,,,,35.4,30.4,6.7,3.9,76.40000000000000,15.3,37.4,38.3,9,33.5,46.6,19,0.9000000000000000,29.4,26.8,36.6,7.200000000000000,13,18.8,47.1,21.1,70.5,18.9,90.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,10.5,8142.7
606205,606,Banks County,Banks County Primary School,205,E,(706)677-2355,266 Highway 51 S,Homer,GA,30547,580,K-2,,-,,0,0,3,7,3,87,62,14,5,37.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,43.4,30.3,7.4,15.4,37.1,35.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23.7,10299.57
607101,607,Barrow County,Apalachee High School,101,H,(770)586-5111,940 Haymon Morris Rd,Winder,GA,30680,1754,9-12,,C,73.40000000000000,4,0,13,19,4,59,51,12,5,,,,,,,,,,,,,,33.2,33.6,5,1.6,73.40000000000000,23,35.4,33.6,8.1,37.7,37,20.3,5,28.2,33.1,31.9,6.800000000000000,32.3,37.7,23.8,6.2,55.5,54.9,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,12,8151.18
607105,607,Barrow County,County Line Elementary School,105,E,(770)867-2902,334 Rockwell Church Rd NW,Winder,GA,30680,831,K-5,,B,83.30000000000000,4,0,11,23,6,56,72,15,20,32.6,38.8,6.7,5.2,83.3,57.7,77.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,40.2,33.8,10.6,10.8,35.1,45.4,8.800000000000000,23.3,26.7,34.5,15.5,21.6,45.7,19,13.8,,,,,,,,,,,,,,,,,,4,5,20.2,8748.42
607106,607,Barrow County,Haymon-Morris Middle School,106,M,(678)963-0602,1008 Haymon Morris Rd,Winder,GA,30680,767,6-8,,C,76.10000000000000,3,0,14,17,4,62,51,13,6,,,,,,,,31.8,33.8,6.7,3.8,76.10000000000000,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,39.7,32.1,7.9,11,42.8,36.9,9.200000000000000,26.8,28.9,38.6,5.7,15.4,38.8,34.40000000000000,11.5,,4,5,7.600000000000000,7699.89
607114,607,Barrow County,Bear Creek Middle School,114,M,(770)867-2116,228 Jefferson St,Statham,GA,30666,820,6-8,,B,84.2,4,0,17,15,5,59,57,13,5,,,,,,,,32.3,40,8.300000000000000,3.6,84.2,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,40.2,28.2,9.300000000000000,10.9,47.3,28.1,13.7,18.4,29.9,43.2,8.5,11.6,31.8,38.2,18.5,,4.5,5,14.2,8066.92
607189,607,Barrow County,Kennedy Elementary School,189,E,(770)867-3182,200 Matthews School Rd,Winder,GA,30680,745,K-5,,A,90.5,3,0,16,21,7,53,74,19,18,35.2,38.1,8.300000000000000,8.9,90.5,58.5,80.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,36.2,39.2,11.4,8.200000000000000,32.4,43.9,15.5,18.6,31.8,41.9,7.8,13.1,45.4,20.8,20.8,,,,,,,,,,,,,,,,,,3.5,4,16.7,9616.77
607193,607,Barrow County,Bramlett Elementary School,193,E,(770)307-1627,622 Freeman Brock Rd,Auburn,GA,30011,704,K-5,,B,86.40000000000000,7,0,7,13,4,69,42,12,14,36.4,35,8.300000000000000,6.7,86.40000000000000,64,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,34.3,40.5,12.6,7.6,38.7,47.8,5.9,12.1,20.6,44.9,22.4,6.7,57.10000000000000,26.7,9.5,,,,,,,,,,,,,,,,,,3.5,5,12.9,9045.890000000000
607198,607,Barrow County,Westside Middle School,198,M,(770)307-2972,240 Matthews School Rd,Winder,GA,30680,697,6-8,,D,69.7,4,0,12,17,7,60,65,17,6,,,,,,,,29.8,32,5,2.9,69.7,76.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,39.7,35.9,4.100000000000000,21.1,44.2,28.4,6.3,25.2,36.9,31.5,6.3,19.7,42.2,30.5,7.6,,3,5,13.3,8435.66
607205,607,Barrow County,Bethlehem Elementary School,205,E,(770)867-2238,47 McElhannon Rd SW,Bethlehem,GA,30620,725,K-5,,B,81.80000000000000,4,0,11,21,4,60,61,14,17,33.1,35.8,6.7,6.2,81.8,54.8,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,36.7,36.5,11.2,12.2,39.6,36.7,11.5,22.2,34.1,34.8,8.9,17.2,57.50000000000000,18.7,6.7,,,,,,,,,,,,,,,,,,4,5,12.6,8564.6
607289,607,Barrow County,Russell Middle School,289,M,(770)867-8181,84 W Midland Ave,Winder,GA,30680,835,6-8,,C,74.3,5,0,11,17,5,62,55,15,7,,,,,,,,31.4,34.7,6.7,1.5,74.3,79.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,41.1,31.6,5.800000000000000,14.9,44.1,33,8,27.2,35.5,33,4.300000000000000,21.9,46,25.5,6.600000000000000,,4,4,12.7,7569.07
607298,607,Barrow County,Yargo Elementary School,298,E,(770)867-1147,1000 Haymon Morris Rd,Winder,GA,30680,801,K-5,,B,80.5,3,0,13,17,5,61,52,11,16,34.4,35.8,6.7,3.6,80.5,70.5,84.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,37.4,36.2,12.9,9.700000000000000,39.6,39.8,10.9,23.8,26.9,36.2,13.1,19.4,54.3,19.4,7.000000000000000,,,,,,,,,,,,,,,,,,4,4,9.9,8562.630000000000
608101,608,Bartow County,Woodland Middle School at Euharlee,101,M,(770)606-5871,1061 Euharlee Rd,Euharlee,GA,30145,782,6-8,,D,67.90000000000000,0,0,7,8,3,81,52,9,1,,,,,,,,28.9,32.5,5,1.5,67.90000000000000,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,39.8,33.8,5.100000000000000,23.5,42.7,27.8,6.1,33.90000000000000,32.3,26.8,7.000000000000000,20.6,39.3,31.9,8.200000000000000,,3.5,4,11.4,7968.97
608104,608,Bartow County,Clear Creek Elementary School,104,E,(770)606-5403,50 Pleasant Valley Rd NW,Cartersville,GA,30121,544,K-5,,C,75.40000000000000,0,0,3,9,3,85,54,12,4,31.6,35.5,5,3.3,75.40000000000000,55.3,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,30.7,32.2,7.9,15.7,35.6,36.7,12,25,29.3,31.5,14.1,21.7,53.3,16.3,8.700000000000000,,,,,,,,,,,,,,,,,,3,4,17.6,9225.32
608105,608,Bartow County,Adairsville High School,105,H,(770)606-4151,519 Old Highway 41 NW,Adairsville,GA,30103,973,9-12,,D,68.8,0,0,5,6,2,87,45,12,2,,,,,,,,,,,,,,33.6,30.8,3.3,1.1,68.8,30.3,36.3,27.3,6,18.7,44.3,29.1,7.9,33.8,29.7,30.9,5.600000000000000,31.2,34.40000000000000,29.6,4.8,54.4,40,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,13.8,8413.960000000000
608106,608,Bartow County,Pine Log Elementary,106,E,(770)606-5864,1095 Cass Pine Log Rd,Rydal,GA,30171,350,K-5,,D,69.8,0,1,1,7,3,89,60,12,4,29.7,32.4,6.7,1,69.8,39.3,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,37.3,27.7,7.9,18.6,40.7,35.6,5.100000000000000,23.4,35.9,29.7,10.9,17.2,56.3,21.9,4.7,,,,,,,,,,,,,,,,,,2,4,14.3,10320.25
608107,608,Bartow County,Euharlee Elementary School,107,E,(770)606-5872,1058 Euharlee Rd,Euharlee,GA,30145,484,K-5,,B,80.90000000000000,0,0,5,6,5,83,54,15,5,33.9,36.3,6.7,4,80.90000000000000,49.3,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,41.5,31.7,8.5,13,37.4,39.8,9.800000000000000,15.7,28.1,38.2,18,10.1,38.2,31.5,20.2,,,,,,,,,,,,,,,,,,3,5,15.5,10036.92
608114,608,Bartow County,Cass High School,114,H,(770)606-5800,1000 Colonel Way,White,GA,30184,1581,9-12,,C,71.7,2,0,15,14,4,66,54,11,3,,,,,,,,,,,,,,33.2,31.1,5,2.4,71.7,28.9,35.3,28.4,7.4,36.6,42.6,19.5,1.3,47.8,25.7,21.7,4.9,39.1,27,27.5,6.5,47.6,48.9,88.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,14.5,7465.25
608115,608,Bartow County,Cloverleaf Elementary,115,E,(770)606-5847,291 Highway 20 Spur,Cartersville,GA,30121,687,K-5,,D,65.8,2,0,16,17,6,58,68,10,13,27.3,32.8,3.3,2.4,65.8,50.40000000000000,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,39.3,29.9,4.9,26.8,37.2,29.6,6.4,50,20.2,26.9,2.9,32,48.5,12.6,6.800000000000000,,,,,,,,,,,,,,,,,,2,5,25.8,9540.710000000000
608175,608,Bartow County,White Elementary School,175,E,(770)606-5869,505 Colonel Way,White,GA,30184,570,K-5,,C,78.30000000000000,2,0,16,15,4,64,62,12,8,31.2,38,6.7,2.4,78.3,55.1,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,32.2,33.7,10.6,17.9,38.8,32.6,10.6,32.9,30.5,34.1,2.4,33.3,42,18.5,6.2,,,,,,,,,,,,,,,,,,3.5,4,23.7,8285.41
608177,608,Bartow County,Adairsville Elementary School,177,E,(770)606-5840,122 King St,Adairsville,GA,30103,659,K-5,,C,77.10000000000000,0,0,7,4,6,82,55,9,3,31.5,38.5,5,2.1,77.10000000000000,50.90000000000000,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,36,32.9,8.5,12.4,34.1,41.1,12.4,25.5,36.3,29.4,8.800000000000000,26.7,48.5,18.8,5.9,,,,,,,,,,,,,,,,,,3.5,4,14.4,8392.9
608186,608,Bartow County,Mission Road Elementary School,186,E,(770)606-5863,1100 Mission Rd SW,Cartersville,GA,30120,452,K-5,,C,70.10000000000000,0,0,12,12,3,73,56,10,8,32.6,28.3,5,4.2,70.10000000000000,58.3,63.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,35.4,34.1,9.300000000000000,13.7,35.8,38.9,11.5,32.1,34.6,25.9,7.4,17.3,49.4,19.8,13.6,,,,,,,,,,,,,,,,,,3,5,13.1,9208.58
608190,608,Bartow County,South Central Middle School,190,M,(770)606-5865,224 Old Alabama Rd SE,Emerson,GA,30137,639,6-8,,D,62.2,2,0,10,15,5,68,72,12,4,,,,,,,,26.4,32,3.3,0.5,62.2,57.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,38.5,28.1,4.100000000000000,24.9,37.4,27.1,10.6,66.3,23.2,9.5,1.1,33.90000000000000,39.1,24,3.1,,3.5,4,23.5,7946.02
608195,608,Bartow County,Cass Middle School,195,M,(770)606-5846,195 Fire Tower Rd NW,Cartersville,GA,30120,944,6-8,,C,76.80000000000000,1,0,14,18,5,62,60,13,4,,,,,,,,31.2,34.3,6.7,4.6,76.8,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,35.1,30.2,6.7,18.7,38.1,31.3,11.9,19.2,32.4,41.3,7.100000000000000,16,31.1,37.8,15.1,,4,5,14.8,7444.110000000000
608196,608,Bartow County,Allatoona Elementary School,196,E,(770)606-5843,4150 New Hope Church Rd SE,Acworth,GA,30102,413,K-5,,D,64.7,0,1,6,27,6,60,80,10,22,26.3,28,6.7,3.7,64.7,50.8,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,42.2,22.7,6.5,21,45.7,26.9,6.5,48.5,31.8,16.7,3,38.5,52.3,7.7,1.5,,,,,,,,,,,,,,,,,,2.5,5,26.2,9264.67
608198,608,Bartow County,Woodland High School,198,H,(770)606-5870,800 Old Alabama Rd SE,Cartersville,GA,30120,1599,9-12,,C,76.10000000000000,1,0,7,11,3,78,48,10,1,,,,,,,,,,,,,,34.5,34.2,5,2.4,76.10000000000000,13.6,38,40.8,7.6,43,34.8,19.2,3,36.7,23.8,33.4,6.1,21.3,31,34.40000000000000,13.4,63.1,48.8,79.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,15.1,7384.34
608296,608,Bartow County,Kingston Elementary School,296,E,(770)606-5850,240 Hardin Bridge Rd,Kingston,GA,30145,475,K-5,,D,67.2,1,0,18,21,4,56,82,15,18,27.6,31.8,5,2.8,67.2,49.40000000000000,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,35.9,23.8,6.9,20.3,42.9,29.9,6.9,31.8,36.4,27.3,4.5,31.8,53,13.6,1.5,,,,,,,,,,,,,,,,,,2,3,27.8,10099.18
608301,608,Bartow County,Adairsville Middle School,301,M,(770)606-5842,485 Old Highway 41 NW,Adairsville,GA,30103,756,6-8,,C,71.3,0,0,5,6,3,85,54,13,3,,,,,,,,31.1,35.1,3.3,1.8,71.3,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,38,30.9,3.9,18.2,36.3,30.3,15.3,21.7,27.1,35.4,15.8,27.2,41.6,25.1,6.2,,4,4,15.1,7691.62
608377,608,Bartow County,Hamilton Crossing Elementary School,377,E,(770)606-5849,116 Hamilton Crossing Rd NW,Cartersville,GA,30120,527,K-5,,D,69.7,2,0,10,22,6,60,54,14,14,27.2,35.3,6.7,0.5,69.7,59.6,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,37.5,34.3,4.300000000000000,21.4,50.2,25.3,3.2,44.2,32.6,22.1,1.1,41.1,47.40000000000000,10.5,1.1,,,,,,,,,,,,,,,,,,2,4,13.9,10522.77
608396,608,Bartow County,Taylorsville Elementary School,396,E,(770)606-5867,1502 Old Alabama Rd,Taylorsville,GA,30178,504,K-5,,C,73.5,0,0,4,9,4,83,58,10,4,34.6,27.9,5,6,73.5,71.60000000000000,67.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,32.1,40.6,15.7,10.8,39,37.8,12.4,33.8,36.6,25.4,4.2,26.8,54.90000000000000,16.9,1.4,,,,,,,,,,,,,,,,,,3,5,16.7,9037.83
609111,609,Ben Hill County,Ben Hill Elementary School,111,E,(229)409-5586,328 Lobinger Ave,Fitzgerald,GA,31750,782,3-5,,D,61.90000000000000,1,0,45,12,3,39,98,12,8,27.7,26.2,3.3,4.7,61.9,41,77.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,44.6,23.2,5.9,16.2,56.00000000000000,24.2,3.600000000000000,29.5,37.6,24.8,8.1,18.8,52.6,17.9,10.7,,,,,,,,,,,,,,,,,,3,4,12.9,8174.51
609196,609,Ben Hill County,Ben Hill County Primary School,196,E,(229)409-5592,221 Jc Hunter Rd,Fitzgerald,GA,31750,790,K-2,,-,,1,0,42,11,3,43,98,13,9,33.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,46,20.5,7.6,15.6,55.8,24.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13.7,9688.9
